Flag,Nombre,Direcciones,MAC,Tips,Mapas,Servicios caidos,Notas
activo,Central - La Hita,169.254.1.60,PipingHotN:30:1D:FE,PTP800,Central ...,,La Palma a La Hita   200 / 100
activo,Switch CPD Arriba,169.254.0.4,90:F6:52:98:EA:E9,Switch,Central ...,,
activo,La Hita - Central,10.6.39.60,PipingHotN:30:1C:D1,PTP800,La Hita,,La Hita - Central    200  /  100
activo,Central - Urrutias,169.254.1.150,PipingHotN:30:1D:56,PTP800,Central ...,,La Palma - Los Urrutias  200  /  150
activo,Central - Palmero,169.254.1.50,PipingHotN:30:1D:8F,PTP800,Central ...,,"La Palma - Circuito   150 / 100, SSID: C1-C150"
activo,Los Urrutias - Central,10.255.15.166,PipingHotN:30:1C:15,PTP800,Urrutias,,Los Urrutias - Arcosur  200  /  100
activo,Calvario - Central,10.4.9.4,PipingHotN:30:1D:89,PTP800,Calvario..,,
activo,SW1 Urrutias Cli PTP,10.255.15.162,24:A4:3C:3D:6F:30,Sw Ubiquiti 8,Urrutias,,"Salvador Mellinas 629.301.460, Mohamed Guarda casa cercana 631.187.937"
activo,Los Urrutias - La Hita,10.255.6.43,68:72:51:04:E2:21,PTP Ubiquiti 30d,Urrutias,,
activo,Sabina - Sabina torre,10.255.29.27,04:18:D6:F2:1C:A8,PTP Ubiquiti 5AC,Sabina,,
activo,La Hita - Los Urrutias,10.255.6.42,DC:9F:DB:02:66:AF,PTP Ubiquiti 30d,La Hita,,
activo,Voz de Sabina,10.240.63.251,Grandstrea:33:5F:2B,Inyector DSLAM,Sabina,,
activo,Dslam 1,10.15.7.9,DrayTekCor:F0:5C:35,Inyector DSLAM,Sabina,,
activo,Dslam 2,10.15.8.9,DrayTekCor:1F:81:90,Inyector DSLAM,Sabina,,
activo,Los Urrutias - Caravaning Arcosur,10.255.15.165,PipingHotN:30:21:62,PTP800,Urrutias,,"U10, Los Urrutias - Arcosur  200  /  100"
activo,Base 15.2,10.15.22.10,00:27:22:9E:99:88,Sectorial Ubiquiti,Urrutias,,antena sectorial
activo,Base 15.3,10.15.23.10,DC:9F:DB:58:9E:26,Sectorial Ubiquiti,Urrutias,,
activo,Base 15.4,10.15.24.10,24:A4:3C:46:8B:A2,Sectorial Ubiquiti,Urrutias,,
activo,Arcosur - Urrutias,10.255.7.51,PipingHotN:30:20:E9,PTP800,Arcosur,,PTP 800   200  /  100
activo,Base 7.1,10.7.1.10,BreezeCom:84:3F:17,Sectorial alvarion EZ,Arcosur,,
activo,Base 7.2,10.7.23.10,00:27:22:46:A0:E4,Sectorial Ubiquiti,Arcosur,,
activo,Base 7.3,10.7.22.10,00:27:22:9E:99:9E,Sectorial Ubiquiti,Arcosur,,
activo,C7 - VillasOfi,10.255.7.110,04:18:D6:AE:AB:51,PTP Ubiquiti 5AC,Arcosur,,
activo,Circuito - Calvario,10.255.5.26,04:18:D6:A4:54:FB,PTP Ubiquiti 30d,Circuito,,
